#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
5.830000E+00,-6.390956
5.840000E+00,-6.393598
5.850000E+00,-6.396237
5.860000E+00,-6.398873
5.870000E+00,-6.401506
5.880000E+00,-6.404135
5.890000E+00,-6.406760
5.900000E+00,-6.409382
5.910000E+00,-6.412001
5.920000E+00,-6.414615
5.930000E+00,-6.417226
5.940000E+00,-6.419834
5.950000E+00,-6.422438
5.960000E+00,-6.425038
5.970000E+00,-6.427634
5.980000E+00,-6.430227
5.990000E+00,-6.432816
6.000000E+00,-6.435401
6.010000E+00,-6.437983
6.020000E+00,-6.440560
6.030000E+00,-6.443133
6.040000E+00,-6.445703
6.050000E+00,-6.448269
6.060000E+00,-6.450830
6.070000E+00,-6.453388
6.080000E+00,-6.455942
6.090000E+00,-6.458492
6.100000E+00,-6.461037
6.110000E+00,-6.463579
6.120000E+00,-6.466116
6.130000E+00,-6.468650
6.140000E+00,-6.471179
6.150000E+00,-6.473703
6.160000E+00,-6.476224
6.170000E+00,-6.478741
6.180000E+00,-6.481252
6.190000E+00,-6.483760
6.200000E+00,-6.486264
6.210000E+00,-6.488763
6.220000E+00,-6.491258
6.230000E+00,-6.493748
6.240000E+00,-6.496234
6.250000E+00,-6.498715
6.260000E+00,-6.501192
6.270000E+00,-6.503665
6.280000E+00,-6.506132
6.290000E+00,-6.508595
6.300000E+00,-6.511054
6.310000E+00,-6.513508
6.320000E+00,-6.515957
6.330000E+00,-6.518402
6.340000E+00,-6.520842
6.350000E+00,-6.523277
6.360000E+00,-6.525708
6.370000E+00,-6.528134
6.380000E+00,-6.530554
6.390000E+00,-6.532970
6.400000E+00,-6.535381
6.410000E+00,-6.537788
6.420000E+00,-6.540189
6.430000E+00,-6.542585
6.440000E+00,-6.544977
6.450000E+00,-6.547363
6.460000E+00,-6.549744
6.470000E+00,-6.552121
6.480000E+00,-6.554492
6.490000E+00,-6.556858
6.500000E+00,-6.559219
6.510000E+00,-6.561575
6.520000E+00,-6.563925
6.530000E+00,-6.566271
6.540000E+00,-6.568611
6.550000E+00,-6.570946
6.560000E+00,-6.573276
6.570000E+00,-6.575600
6.580000E+00,-6.577919
6.590000E+00,-6.580233
6.600000E+00,-6.582541
6.610000E+00,-6.584844
6.620000E+00,-6.587142
6.630000E+00,-6.589433
6.640000E+00,-6.591720
6.650000E+00,-6.594001
6.660000E+00,-6.596276
6.670000E+00,-6.598546
6.680000E+00,-6.600810
6.690000E+00,-6.603069
6.700000E+00,-6.605322
6.710000E+00,-6.607569
6.720000E+00,-6.609811
6.730000E+00,-6.612047
6.740000E+00,-6.614276
6.750000E+00,-6.616501
6.760000E+00,-6.618719
6.770000E+00,-6.620932
6.780000E+00,-6.623139
6.790000E+00,-6.625340
6.800000E+00,-6.627535
6.810000E+00,-6.629724
6.820000E+00,-6.631907
6.830000E+00,-6.634084
6.840000E+00,-6.636256
6.850000E+00,-6.638421
6.860000E+00,-6.640580
6.870000E+00,-6.642733
6.880000E+00,-6.644880
6.890000E+00,-6.647021
6.900000E+00,-6.649155
6.910000E+00,-6.651284
6.920000E+00,-6.653406
6.930000E+00,-6.655522
6.940000E+00,-6.657631
6.950000E+00,-6.659735
